token	corpus size	all contexts size	frequency	co-frequency	specificity
preparation	120157	30086	2	2	1.20
floated	120157	30086	2	2	1.20
Hellenism	120157	30086	2	2	1.20
cropped	120157	30086	2	2	1.20
termed	120157	30086	2	2	1.20
Rocca	120157	30086	2	2	1.20
Fondachelli	120157	30086	2	2	1.20
Fantina	120157	30086	2	2	1.20
traverse	120157	30086	2	2	1.20
Hippolyte	120157	30086	2	2	1.20
traveled	120157	30086	2	2	1.20
round	120157	30086	2	2	1.20
opaque	120157	30086	2	2	1.20
scatters	120157	30086	2	2	1.20
remainder	120157	30086	2	2	1.20
flames	120157	30086	2	2	1.20
neon	120157	30086	2	2	1.20
respect	120157	30086	2	2	1.20
responds	120157	30086	2	2	1.20
relate	120157	30086	2	2	1.20
NEMS	120157	30086	2	2	1.20
Crookes	120157	30086	2	2	1.20
consequence	120157	30086	2	2	1.20
arguments	120157	30086	2	2	1.20
obstacles	120157	30086	2	2	1.20
localised	120157	30086	2	2	1.20
reputation	120157	30086	2	2	1.20
Laplace	120157	30086	2	2	1.20
firmly	120157	30086	2	2	1.20
Hooke	120157	30086	2	2	1.20
implied	120157	30086	2	2	1.20
rotated	120157	30086	2	2	1.20
propagating	120157	30086	2	2	1.20
inspired	120157	30086	2	2	1.20
Lewis	120157	30086	2	2	1.20
squeezed	120157	30086	2	2	1.20
Quotations	120157	30086	2	2	1.20
dominant	120157	30086	2	2	1.20
mutual	120157	30086	2	2	1.20
undergoes	120157	30086	2	2	1.20
deals	120157	30086	2	2	1.20
receiver	120157	30086	2	2	1.20
apertures	120157	30086	2	2	1.20
gathering	120157	30086	2	2	1.20
micron	120157	30086	2	2	1.20
AA	120157	30086	2	2	1.20
admitted	120157	30086	2	2	1.20
handle	120157	30086	2	2	1.20
sheet	120157	30086	2	2	1.20
vibrates	120157	30086	2	2	1.20
fill	120157	30086	2	2	1.20
integration	120157	30086	2	2	1.20
Slowing	120157	30086	2	2	1.20
distinct	120157	30086	2	2	1.20
host	120157	30086	2	2	1.20
Tidal	120157	30086	2	2	1.20
Disruption	120157	30086	2	2	1.20
quot	120157	30086	2	2	1.20
writers	120157	30086	2	2	1.20
observing	120157	30086	2	2	1.20
instantaneous	120157	30086	2	2	1.20
replicate	120157	30086	2	2	1.20
unified	120157	30086	2	2	1.20
mc	120157	30086	2	2	1.20
conversion	120157	30086	2	2	1.20
gone	120157	30086	2	2	1.20
enters	120157	30086	2	2	1.20
answering	120157	30086	2	2	1.20
moderate	120157	30086	2	2	1.20
discrete	120157	30086	2	2	1.20
ENTRY	120157	30086	2	2	1.20
shimmers	120157	30086	2	2	1.20
Wind	120157	30086	2	2	1.20
fox	120157	30086	2	2	1.20
folk	120157	30086	2	2	1.20
establish	120157	30086	2	2	1.20
harm	120157	30086	2	2	1.20
Advocate	120157	30086	2	2	1.20
requirements	120157	30086	2	2	1.20
alteration	120157	30086	2	2	1.20
Causes	120157	30086	2	2	1.20
Outdoor	120157	30086	2	2	1.20
Certified	120157	30086	2	2	1.20
Glare	120157	30086	2	2	1.20
polluted	120157	30086	2	2	1.20
reside	120157	30086	2	2	1.20
getting	120157	30086	2	2	1.20
mouths	120157	30086	2	2	1.20
lanternfish	120157	30086	2	2	1.20
nasal	120157	30086	2	2	1.20
ORCA	120157	30086	2	2	1.20
teamorca	120157	30086	2	2	1.20
regulating	120157	30086	2	2	1.20
dragonfish	120157	30086	2	2	1.20
blends	120157	30086	2	2	1.20
fake	120157	30086	2	2	1.20
drives	120157	30086	2	2	1.20
pathway	120157	30086	2	2	1.20
specialist	120157	30086	2	2	1.20
mimics	120157	30086	2	2	1.20
regulated	120157	30086	2	2	1.20
Smaller	120157	30086	2	2	1.20
alertness	120157	30086	2	2	1.20
stimulates	120157	30086	2	2	1.20
trick	120157	30086	2	2	1.20
boom	120157	30086	2	2	1.20
conundrum	120157	30086	2	2	1.20
emerald	120157	30086	2	2	1.20
